"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"
"5374"	"2"	"IMG_1988.JPG"	"897888"	"june"	"2017"	"C1"	"CAL17-3080"	"1060864"	"897888"
"5799"	"2"	"IMG_2859.JPG"	"897888"	"august"	"2017"	"C1"	"CAL17-3080"	"1060864"	"897888"
"5468"	"3"	"IMG_1965.JPG"	"897855"	"june"	"2017"	"C10"	"CAL17-3073"	"9555968"	"897855"
"5899"	"3"	"IMG_2844.JPG"	"897855"	"august"	"2017"	"C10"	"CAL17-3073"	"9555968"	"897855"
"4480"	"11"	"IMG_7696.JPG"	"158519"	"august"	"2015"	"C19"	"CAL15-2765"	"0922112"	"158519"
"5097"	"14"	"IMG_9399.JPG"	"158519"	"june"	"2016"	"C19"	"CAL15-2765"	"0922112"	"158519"
"4485"	"16"	"IMG_7701.JPG"	"655307"	"august"	"2015"	"C19"	"CAL15-2768"	"5491968"	"655307"
"5099"	"16"	"IMG_9401.JPG"	"655307"	"june"	"2016"	"C19"	"CAL15-2768"	"5491968"	"655307"
"4253"	"15"	"IMG_7009.JPG"	"158503"	"august"	"2015"	"C2"	"CAL15-2570"	"7629440"	"158503"
"4903"	"17"	"IMG_9203.JPG"	"158503"	"june"	"2016"	"C2"	"CAL15-2570"	"7629440"	"158503"
"5399"	"14"	"IMG_2333.JPG"	"158503"	"june"	"2017"	"C2"	"CAL15-2570"	"7629440"	"158503"
"5393"	"8"	"IMG_2009.JPG"	"897757"	"june"	"2017"	"C2"	"CAL17-3083"	"3482752"	"897757"
"5814"	"5"	"IMG_2872.JPG"	"897757"	"august"	"2017"	"C2"	"CAL17-3083"	"3482752"	"897757"
"4489"	"3"	"IMG_7210.JPG"	"655353"	"august"	"2015"	"C20"	"CAL15-2642"	"4222720"	"655353"
"5102"	"3"	"IMG_5627.jpg"	"655353"	"june"	"2016"	"C20"	"CAL15-2642"	"4222720"	"655353"
"5554"	"4"	"IMG_2197.JPG"	"655353"	"june"	"2017"	"C20"	"CAL15-2642"	"4222720"	"655353"
"4516"	"5"	"IMG_7276.JPG"	"655313"	"august"	"2015"	"C21"	"CAL15-2666"	"2773504"	"655313"
"5119"	"10"	"IMG_5574.jpg"	"655313"	"june"	"2016"	"C21"	"CAL15-2666"	"2773504"	"655313"
"4532"	"21"	"IMG_7630.JPG"	"655339"	"august"	"2015"	"C21"	"CAL15-2743"	"6414592"	"655339"
"5120"	"11"	"IMG_5575.jpg"	"655339"	"june"	"2016"	"C21"	"CAL15-2743"	"6414592"	"655339"
"5574"	"10"	"IMG_2222.JPG"	"655339"	"june"	"2017"	"C21"	"CAL15-2743"	"6414592"	"655339"
"4534"	"23"	"IMG_7632.JPG"	"655362"	"august"	"2015"	"C21"	"CAL15-2744"	"0884992"	"655362"
"5117"	"8"	"IMG_5572.jpg"	"655362"	"june"	"2016"	"C21"	"CAL15-2744"	"0884992"	"655362"
"5587"	"23"	"IMG_2539.JPG"	"655362"	"june"	"2017"	"C21"	"CAL15-2744"	"0884992"	"655362"
"6032"	"16"	"IMG_3075.JPG"	"655362"	"august"	"2017"	"C21"	"CAL15-2744"	"0884992"	"655362"
"4630"	"24"	"IMG_7035.JPG"	"158521"	"august"	"2015"	"C25"	"CAL15-2584"	"3072256"	"158521"
"5240"	"72"	"IMG_9233.JPG"	"158521"	"june"	"2016"	"C25"	"CAL15-2584"	"3072256"	"158521"
"5678"	"49"	"IMG_2111.JPG"	"158521"	"june"	"2017"	"C25"	"CAL15-2584"	"3072256"	"158521"
"5722"	"93"	"IMG_2474.JPG"	"158521"	"june"	"2017"	"C25"	"CAL15-2584"	"3072256"	"158521"
"4669"	"63"	"IMG_7074.JPG"	"897966"	"august"	"2015"	"C25"	"CAL15-2602"	"9126400"	"897966"
"5705"	"76"	"IMG_2453.JPG"	"897966"	"june"	"2017"	"C25"	"CAL15-2602"	"9126400"	"897966"
"4677"	"71"	"IMG_7082.JPG"	"158506"	"august"	"2015"	"C25"	"CAL15-2606"	"2868096"	"158506"
"5298"	"130"	"IMG_9295.JPG"	"158506"	"june"	"2016"	"C25"	"CAL15-2606"	"2868096"	"158506"
"5735"	"106"	"IMG_2489.JPG"	"158506"	"june"	"2017"	"C25"	"CAL15-2606"	"2868096"	"158506"
"6089"	"8"	"IMG_2933.JPG"	"158506"	"august"	"2017"	"C25"	"CAL15-2606"	"2868096"	"158506"
"4749"	"143"	"IMG_7563.JPG"	"655325"	"august"	"2015"	"C25"	"CAL15-2721"	"0717056"	"655325"
"5197"	"29"	"IMG_5534.jpg"	"655325"	"june"	"2016"	"C25"	"CAL15-2721"	"0717056"	"655325"
"4757"	"151"	"IMG_7571.JPG"	"655324"	"august"	"2015"	"C25"	"CAL15-2724"	"5954816"	"655324"
"5196"	"28"	"IMG_5533.jpg"	"655324"	"june"	"2016"	"C25"	"CAL15-2724"	"5954816"	"655324"
"4796"	"190"	"IMG_7615.JPG"	"158517"	"august"	"2015"	"C25"	"CAL15-2737"	"6524416"	"158517"
"5263"	"95"	"IMG_9256.JPG"	"158517"	"june"	"2016"	"C25"	"CAL15-2737"	"6524416"	"158517"
"6185"	"104"	"IMG_3235.JPG"	"158517"	"august"	"2017"	"C25"	"CAL15-2737"	"6524416"	"158517"
"5270"	"102"	"IMG_9265.JPG"	"897787"	"june"	"2016"	"C25"	"CAL16-2885"	"2615296"	"897787"
"5647"	"18"	"IMG_2074.JPG"	"897787"	"june"	"2017"	"C25"	"CAL16-2885"	"2615296"	"897787"
"5331"	"20"	"IMG_5457.jpg"	"981897"	"june"	"2016"	"C26"	"CAL16-2800"	"3137664"	"981897"
"5762"	"20"	"IMG_2515.JPG"	"981897"	"june"	"2017"	"C26"	"CAL16-2800"	"3137664"	"981897"
"6199"	"1"	"IMG_3029.JPG"	"981897"	"august"	"2017"	"C26"	"CAL16-2800"	"3137664"	"981897"
"4916"	"11"	"IMG_9320.JPG"	"897835"	"june"	"2016"	"C5"	"CAL16-2896"	"2032640"	"897835"
"5420"	"20"	"IMG_2373.JPG"	"897835"	"june"	"2017"	"C5"	"CAL16-2896"	"2032640"	"897835"
"4922"	"17"	"IMG_9326.JPG"	"897953"	"june"	"2016"	"C5"	"CAL16-2898"	"4618880"	"897953"
"5405"	"5"	"IMG_1936.JPG"	"897953"	"june"	"2017"	"C5"	"CAL16-2898"	"4618880"	"897953"
"5850"	"25"	"IMG_3179.JPG"	"897953"	"august"	"2017"	"C5"	"CAL16-2898"	"4618880"	"897953"
"4926"	"21"	"IMG_9330.JPG"	"897789"	"june"	"2016"	"C5"	"CAL16-2900"	"2521984"	"897789"
"5830"	"5"	"IMG_2808.JPG"	"897789"	"august"	"2017"	"C5"	"CAL16-2900"	"2521984"	"897789"
"4930"	"25"	"IMG_9336.JPG"	"981864"	"june"	"2016"	"C5"	"CAL16-2901"	"5637504"	"981864"
"5846"	"21"	"IMG_3175.JPG"	"981864"	"august"	"2017"	"C5"	"CAL16-2901"	"5637504"	"981864"
"4313"	"14"	"IMG_7146.JPG"	"655315"	"august"	"2015"	"C7"	"CAL15-2626"	"0866432"	"655315"
"4945"	"7"	"IMG_5468.jpg"	"655315"	"june"	"2016"	"C7"	"CAL15-2626"	"0866432"	"655315"
"5431"	"2"	"IMG_2020.JPG"	"655315"	"june"	"2017"	"C7"	"CAL15-2626"	"0866432"	"655315"
"5404"	"4"	"IMG_1934.JPG"	"897866"	"june"	"2017"	"C5"	NA	"0726272"	"897866"
"5935"	"17"	"IMG_3184.JPG"	"897866"	"august"	"2017"	"C11"	NA	NA	"897866"
"4459"	"15"	"IMG_7719.JPG"	"158523"	"august"	"2015"	"C18"	NA	"0839040"	"158523"
"5070"	"7"	"IMG_9410.JPG"	"158523"	"june"	"2016"	"C18"	NA	"0839040"	"158523"
"5600"	"11"	"IMG_2252.JPG"	"897920"	"june"	"2017"	"C22"	NA	"1126272"	"897920"
"5013"	"15"	"IMG_9342.JPG"	"158509"	"june"	"2016"	"C11"	NA	"1275648"	"158509"
"5032"	"15"	"IMG_9342.JPG"	"158509"	"june"	"2016"	"C11"	NA	"1275648"	"158509"
"5488"	"4"	"IMG_1949.JPG"	"897793"	"june"	"2017"	"C11"	NA	"1499264"	"897793"
"5631"	"2"	"IMG_2050.JPG"	"897799"	"june"	"2017"	"C25"	NA	"1727872"	"897799"
"5496"	"12"	"IMG_2385.JPG"	"897914"	"june"	"2017"	"C11"	NA	"1821568"	"897914"
"5932"	"14"	"IMG_2838.JPG"	"897914"	"august"	"2017"	"C11"	NA	"1821568"	"897914"
"5482"	"17"	"IMG_2398.JPG"	"897784"	"june"	"2017"	"C10"	NA	"2465920"	"897784"
"5914"	"18"	"IMG_3189.JPG"	"897784"	"august"	"2017"	"C10"	NA	"2465920"	"897784"
"5498"	"14"	"IMG_2389.JPG"	"897775"	"june"	"2017"	"C11"	NA	"2680704"	"897775"
"5921"	"3"	"IMG_2827.JPG"	"897775"	"august"	"2017"	"C11"	NA	"2680704"	"897775"
"5607"	"18"	"IMG_2547.JPG"	"897875"	"june"	"2017"	"C22"	NA	"2746112"	"897875"
"5634"	"5"	"IMG_2055.JPG"	"897973"	"june"	"2017"	"C25"	NA	"2830080"	"897973"
"6095"	"14"	"IMG_2939.JPG"	"897973"	"august"	"2017"	"C25"	NA	"2830080"	"897973"
"5414"	"14"	"IMG_2366.JPG"	"897816"	"june"	"2017"	"C5"	NA	"3895296"	"897816"
"5853"	"28"	"IMG_3183.JPG"	"897816"	"august"	"2017"	"C5"	NA	"3895296"	"897816"
"5613"	"1"	"IMG_2269.JPG"	"981930"	"june"	"2017"	"C23"	NA	"5132800"	"981930"
"6076"	"6"	"IMG_3279.JPG"	"981930"	"august"	"2017"	"C23"	NA	"5132800"	"981930"
"5406"	"6"	"IMG_1937.JPG"	"897957"	"june"	"2017"	"C5"	NA	"5749760"	"897957"
"5826"	"1"	"IMG_2804.JPG"	"897957"	"august"	"2017"	"C5"	NA	"5749760"	"897957"
"5459"	"30"	"IMG_2409.JPG"	"897908"	"june"	"2017"	"C7"	NA	"6075904"	"897908"
"5872"	"16"	"IMG_2911.JPG"	"897908"	"august"	"2017"	"C7"	NA	"6075904"	"897908"
"5721"	"92"	"IMG_2473.JPG"	"897883"	"june"	"2017"	"C25"	NA	"7517184"	"897883"
"6197"	"116"	"IMG_3251.JPG"	"897883"	"august"	"2017"	"C25"	NA	"7517184"	"897883"
"4316"	"17"	"IMG_7149.JPG"	"897883"	"august"	"2015"	"C7"	NA	"7517184"	"897883"
"5959"	"1"	"IMG_3158.JPG"	"981759"	"august"	"2017"	"C18"	NA	"7739904"	"981759"
"5454"	"25"	"IMG_2404.JPG"	"897869"	"june"	"2017"	"C7"	NA	"7938816"	"897869"
"5861"	"5"	"IMG_2900.JPG"	"897869"	"august"	"2017"	"C7"	NA	"7938816"	"897869"
"6098"	"17"	"IMG_2942.JPG"	"897967"	"august"	"2017"	"C25"	NA	"8039552"	"897967"
"5373"	"1"	"IMG_1985.JPG"	"981945"	"june"	"2017"	"C1"	NA	"8482048"	"981945"
"5808"	"11"	"IMG_3198.JPG"	"981945"	"august"	"2017"	"C1"	NA	"8482048"	"981945"
"5201"	"33"	"IMG_5539.jpg"	"655346"	"june"	"2016"	"C25"	NA	"8975232"	"655346"
"5560"	"10"	"IMG_2562.JPG"	"897894"	"june"	"2017"	"C20"	NA	"9060992"	"897894"
"6006"	"10"	"IMG_3124.JPG"	"897894"	"august"	"2017"	"C20"	NA	"9060992"	"897894"
"5601"	"12"	"IMG_2253.JPG"	"897752"	"june"	"2017"	"C22"	NA	"9498496"	"897752"
"5652"	"23"	"IMG_2080.JPG"	"897933"	"june"	"2017"	"C25"	NA	"9770240"	"897933"
"3131"	"10"	"IMG_9961.JPG"	"4EE15F"	"august"	"2014"	"C2"	"CAL12-0570"	NA	"4EE15F"
"422"	"2"	"CAL12-594.jpg"	"4EE15F"	"august"	"2012"	"C1"	"CAL12-0570"	NA	"4EE15F"
"1679"	"18"	"IMG_7064.JPG"	"4EE15F"	"august"	"2013"	"C1"	"CAL12-0570"	NA	"4EE15F"
"2425"	"2"	"4EE15F_Jun14.jpg"	"4EE15F"	"june"	"2014"	"C1"	"CAL12-0570"	NA	"4EE15F"
"3688"	"4"	"IMG_4550.JPG"	"4EE15F"	"june"	"2015"	"C1"	"CAL12-0570"	NA	"4EE15F"
"4240"	"2"	"IMG_6993.JPG"	"4EE15F"	"august"	"2015"	"C1"	"CAL12-0570"	NA	"4EE15F"
"421"	"1"	"CAL12-593.jpg"	"4ED5E5"	"august"	"2012"	"C1"	"CAL12-0593"	NA	"4ED5E5"
"1669"	"8"	"IMG_6080.jpg"	"4ED5E5"	"august"	"2013"	"C1"	"CAL12-0593"	NA	"4ED5E5"
"3118"	"11"	"IMG_9948.JPG"	"4ED5E5"	"august"	"2014"	"C1"	"CAL12-0593"	NA	"4ED5E5"
"423"	"3"	"CAL12-595.jpg"	"C96078"	"august"	"2012"	"C1"	"CAL12-0595"	NA	"C96078"
"424"	"4"	"CAL12-596.jpg"	"C964B6"	"august"	"2012"	"C1"	"CAL12-0596"	NA	"C964B6"
"1677"	"16"	"IMG_7062.JPG"	"C964B6"	"august"	"2013"	"C1"	"CAL12-0596"	NA	"C964B6"
"2432"	"9"	"C964B6_Jun14.jpg"	"C964B6"	"june"	"2014"	"C1"	"CAL12-0596"	NA	"C964B6"
"3114"	"7"	"IMG_9943.JPG"	"C964B6"	"august"	"2014"	"C1"	"CAL12-0596"	NA	"C964B6"
